id,mass_dynamical [solar_mass],t0h_light_darkmatter [yr],t0h_heavy_darkmatter [yr]
antlia_2,78722415.06578396,44777624325577.41,7370165500487.521
aquarius_2,2474840.2828676216,55900221716.263794,239725722385.59372
bootes_1,3166277.7532732626,174964621522.93063,303155941241.5957
bootes_2,252352.258624669,4792713932.115088,26786355320.651478
bootes_3,46951877.871186405,600179353139.7714,4417900372697.629
canes_venatici_1,17497645.225456953,1571935406327.2302,1620478771125.9934
canes_venatici_2,1037383.0272137579,25004116504.28308,102480115503.93831
carina_1,10057533.834591623,1489892890795.3672,899879332349.5519
carina_2,812373.9356301201,32629182126.81945,81250719931.92282
carina_3,519513.77303692914,1599313510.3845754,53300365512.28109
centaurus_1,1150114.1574343871,40642578353.3484,113115576014.45776
coma_berenices_1,1076181.7262929427,17044535487.603182,106797829118.55402
crater_2,5361018.899732329,7662938578325.821,495115061437.25726
draco_1,14880604.553591877,770332408381.185,1371646914510.5786
eridanus_2,7882930.424207453,320057658647.0008,741352156413.8628
eridanus_4,1909154.0551302473,12007631995.028744,186446087251.3879
fornax_1,94626510.01170854,37817433556545.22,6986609114698.523
grus_1,640602.7152170897,48907788501.6728,64797141300.58786
hercules_1,2852283.2410681285,101101674873.25592,273959228460.788
horologium_1,700554.0975017931,5071560649.178329,70841817535.95428
hydrus_1,350772.45659666846,21083842881.958607,36032758259.676765
leo_1,17970751.799441088,3828504212188.345,1234639456648.3452
leo_2,8377968.947072068,934119167218.8928,727008178816.3735
leo_4,1066618.517919565,57706866799.535286,105484835673.44864
leo_6,581596.8076037827,25393740313.643223,59209648565.97259
pegasus_3,2179349.0882182727,27960083903.520996,211907849901.86484
pegasus_4,415236.85641180305,11905209783.637892,42674826141.65869
pisces_2,1525976.0698819545,17146688596.305267,149793668076.6189
reticulum_2,430922.45084952115,5727911714.321037,44527092031.82046
sagittarius_1,188519864.38069865,129173602019399.62,15818546459817.838
sculptor_1,17573370.780026935,2273767748988.1777,1479552244850.6038
segue_1,245194.5564992836,1026743733.8351169,26179777396.042355
sextans_1,28201896.043815088,2758373807153.286,2625115422234.4004
tucana_2,2108972.6338103153,63807910886.23878,205368896499.07025
tucana_4,1666270.0014953036,21728298855.430492,163459550950.5153
tucana_5,28956.346133468225,1450089866.8559675,3628860244.0325956
ursa_major_1,6828469.620790255,99778897893.81834,647892769435.806
ursa_major_2,3837040.6328613856,35772674435.59701,368030716519.6882
ursa_minor_1,17189839.856546905,1122521970263.868,1588306785091.4722
willman_1,290017.5321061604,1846692648.9251482,30606132593.625202
andromeda_01,72151162.94393995,16681985874864.646,6511111573617.38
andromeda_02,53305438.179627776,28511717048167.293,4599180695464.69
andromeda_03,21276917.298575547,1636161480942.0679,1947180559355.4695
andromeda_05,30711961.44192871,1760664633615.702,2842090235540.9395
andromeda_06,64608071.85645262,6412846525765.527,5807075720676.593
andromeda_07,121835888.49737889,33084483080185.746,10440681145499.445
andromeda_09,43235526.19910193,1878860111998.804,4044377297163.2554
andromeda_10,6410417.543230897,341978521556.9694,602600458549.6205
andromeda_11,5284918.269670739,110708022770.92812,501205089572.9295
andromeda_13,3121270.9971811133,144160713119.3771,296675243848.9703
andromeda_14,7574505.621444141,1376901250581.8462,693875140910.9379
andromeda_15,3614345.0041108266,963872595106.1228,328091372173.2239
andromeda_16,1696165.2761084933,248296496234.23413,157776700861.91345
andromeda_17,1614505.0304342294,646206594349.4684,146929833300.4866
andromeda_18,21175807.798078626,1159722761152.3748,1951822390503.4438
andromeda_19,118224947.20063913,43561467254035.97,11132663517885.91
andromeda_20,3064369.652103957,61602179251.4175,292751626998.2703
andromeda_21,24761965.96683225,5668803978216.21,2295853821540.439
andromeda_22,806318.980109794,147376513623.3887,77999901907.18216
andromeda_23,38250391.02202061,10941879377005.82,3528328298121.6733
andromeda_25,7106881.5568831405,4417941088753.36,637817276026.5269
andromeda_26,9750747.756873338,158412018139.21234,920181136559.9104
andromeda_27,63710952.288827226,988297537468.1027,5997128406855.732
andromeda_28,5046898.803358406,895144694910.7798,459918877815.8057
andromeda_29,7268892.786017066,820086923173.2412,673987648082.7668
cassiopeia_2,23107073.185702033,408995206808.3892,2162092855956.333
cassiopeia_3,60501043.84116645,37528407983851.695,4915139997117.366
lacerta_1,51375451.32493389,9285092668304.88,4574238719547.275
lgs_3,19199452.2574053,2377276104504.122,1746292833658.8337
m_032,713605191.4996002,6257636520839.388,39554918677980.65
ngc_0147,123946414.52269545,46718551960441.41,4498685393606.652
ngc_0185,235321325.84935656,35998237812346.37,14898368302070.951
ngc_0205,508142579.45835114,75633583552297.11,14616041086053.0
perseus_1,4726087.786434254,1391641408043.7615,421170887111.6847
antlia_b,13862723.20848683,1592376020871.437,1235658337294.027
aquarius_1,18003356.79537873,3387648532782.9688,1562006536086.806
cetus_1,36732483.336707294,10887721571105.586,3196111869814.007
ic_1613,156159373.9550926,242564894865196.3,5359893853072.247
leo_a,27415237.24727627,7718795921004.347,2092884400476.7778
leo_t,7934368.18275549,382922989681.91425,738790651386.2162
ngc_6822,830183906.0509716,360276066527157.6,65237470941359.8
pegasus_1,91457594.38708429,19318881745830.727,8029557893373.597
phoenix_1,19368595.0471974,1683934835097.9666,1745875393055.4116
sagittarius_dirr,20532504.66780667,4492888864983.005,1486742765800.997
tucana_1,7081965.293793065,1188687485804.8909,615987857381.8632
ugc_04879,25593109.20680292,6825052818608.727,1740162905083.1921
wlm,213546050.5928955,60592659045280.664,16061295331588.396